Country,Code,Date,Index
Austria,AUT,2020-02-26,11.11
Austria,AUT,2020-02-27,11.11
Austria,AUT,2020-02-28,11.11
Austria,AUT,2020-02-29,11.11
Austria,AUT,2020-03-01,11.11
Austria,AUT,2020-03-02,11.11
Austria,AUT,2020-03-03,11.11
Austria,AUT,2020-03-04,11.11
Austria,AUT,2020-03-05,11.11
Austria,AUT,2020-03-06,11.11
Austria,AUT,2020-03-07,11.11
Austria,AUT,2020-03-08,11.11
Austria,AUT,2020-03-09,19.44
Austria,AUT,2020-03-10,19.44
Austria,AUT,2020-03-11,30.56
Austria,AUT,2020-03-12,34.26
Austria,AUT,2020-03-13,48.15
Austria,AUT,2020-03-14,48.15
Austria,AUT,2020-03-15,48.15
Austria,AUT,2020-03-16,81.48
Austria,AUT,2020-03-17,81.48
Austria,AUT,2020-03-18,81.48
Austria,AUT,2020-03-19,81.48
Austria,AUT,2020-03-20,81.48
Austria,AUT,2020-03-21,81.48
Austria,AUT,2020-03-22,81.48
Austria,AUT,2020-03-23,81.48
Austria,AUT,2020-03-24,81.48
Austria,AUT,2020-03-25,81.48
Austria,AUT,2020-03-26,81.48
Austria,AUT,2020-03-27,81.48
Austria,AUT,2020-03-28,81.48
Austria,AUT,2020-03-29,81.48
Austria,AUT,2020-03-30,81.48
Austria,AUT,2020-03-31,81.48
Austria,AUT,2020-04-01,81.48
Austria,AUT,2020-04-02,81.48
Austria,AUT,2020-04-03,81.48
Austria,AUT,2020-04-04,81.48
Austria,AUT,2020-04-05,81.48
Austria,AUT,2020-04-06,81.48
Austria,AUT,2020-04-07,81.48
Austria,AUT,2020-04-08,81.48
Austria,AUT,2020-04-09,81.48
Austria,AUT,2020-04-10,81.48
Austria,AUT,2020-04-11,81.48
Austria,AUT,2020-04-12,81.48
Austria,AUT,2020-04-13,81.48
Austria,AUT,2020-04-14,77.78
Austria,AUT,2020-04-15,77.78
Austria,AUT,2020-04-16,77.78
Austria,AUT,2020-04-17,77.78
Austria,AUT,2020-04-18,77.78
Austria,AUT,2020-04-19,77.78
Austria,AUT,2020-04-20,77.78
Austria,AUT,2020-04-21,77.78
Austria,AUT,2020-04-22,77.78
Austria,AUT,2020-04-23,75
Austria,AUT,2020-04-24,75
Austria,AUT,2020-04-25,75
Austria,AUT,2020-04-26,75
Austria,AUT,2020-04-27,75
Austria,AUT,2020-04-28,75
Austria,AUT,2020-04-29,75
Austria,AUT,2020-04-30,75
Austria,AUT,2020-05-01,67.59
Austria,AUT,2020-05-02,64.81
Austria,AUT,2020-05-03,64.81
Austria,AUT,2020-05-04,64.81
Austria,AUT,2020-05-05,64.81
Austria,AUT,2020-05-06,64.81
Austria,AUT,2020-05-07,64.81
Austria,AUT,2020-05-08,64.81
Austria,AUT,2020-05-09,64.81
Austria,AUT,2020-05-10,64.81
Austria,AUT,2020-05-11,59.26
Austria,AUT,2020-05-12,59.26
Austria,AUT,2020-05-13,59.26
Austria,AUT,2020-05-14,59.26
Austria,AUT,2020-05-15,59.26
Austria,AUT,2020-05-16,59.26
Austria,AUT,2020-05-17,59.26
Austria,AUT,2020-05-18,59.26
Austria,AUT,2020-05-19,59.26
Austria,AUT,2020-05-20,59.26
Austria,AUT,2020-05-21,59.26
Austria,AUT,2020-05-22,59.26
Austria,AUT,2020-05-23,59.26
Austria,AUT,2020-05-24,59.26
Austria,AUT,2020-05-25,59.26
Austria,AUT,2020-05-26,59.26
Austria,AUT,2020-05-27,59.26
Austria,AUT,2020-05-28,59.26
Austria,AUT,2020-05-29,53.7
Austria,AUT,2020-05-30,53.7
Austria,AUT,2020-05-31,53.7
Austria,AUT,2020-06-01,53.7
Austria,AUT,2020-06-02,53.7
Austria,AUT,2020-06-03,50
Austria,AUT,2020-06-04,50
Austria,AUT,2020-06-05,50
Austria,AUT,2020-06-06,50
Austria,AUT,2020-06-07,50
Austria,AUT,2020-06-08,50
Austria,AUT,2020-06-09,50
Austria,AUT,2020-06-10,50
Austria,AUT,2020-06-11,50
Austria,AUT,2020-06-12,50
Austria,AUT,2020-06-13,50
Austria,AUT,2020-06-14,50
Austria,AUT,2020-06-15,50
Austria,AUT,2020-06-16,50
Austria,AUT,2020-06-17,50
Austria,AUT,2020-06-18,50
Austria,AUT,2020-06-19,50
Austria,AUT,2020-06-20,50
Austria,AUT,2020-06-21,50
Austria,AUT,2020-06-22,50
Austria,AUT,2020-06-23,50
Austria,AUT,2020-06-24,50
Austria,AUT,2020-06-25,50
Austria,AUT,2020-06-26,50
Austria,AUT,2020-06-27,50
Austria,AUT,2020-06-28,50
Austria,AUT,2020-06-29,50
Austria,AUT,2020-06-30,50
Austria,AUT,2020-07-01,41.67
Austria,AUT,2020-07-02,41.67
Austria,AUT,2020-07-03,41.67
Austria,AUT,2020-07-04,41.67
Austria,AUT,2020-07-05,41.67
Austria,AUT,2020-07-06,41.67
Austria,AUT,2020-07-07,41.67
Austria,AUT,2020-07-08,41.67
Austria,AUT,2020-07-09,41.67
Austria,AUT,2020-07-10,37.96
Austria,AUT,2020-07-11,37.96
Austria,AUT,2020-07-12,37.96
Austria,AUT,2020-07-13,37.96
Austria,AUT,2020-07-14,37.96
Austria,AUT,2020-07-15,37.96
Austria,AUT,2020-07-16,37.96
Austria,AUT,2020-07-17,37.96
Austria,AUT,2020-07-18,37.96
Austria,AUT,2020-07-19,37.96
Austria,AUT,2020-07-20,37.96
Austria,AUT,2020-07-21,37.96
Austria,AUT,2020-07-22,37.96
Austria,AUT,2020-07-23,37.96
Austria,AUT,2020-07-24,37.96
Austria,AUT,2020-07-25,37.96
Austria,AUT,2020-07-26,37.96
Austria,AUT,2020-07-27,37.96
Austria,AUT,2020-07-28,37.96
Austria,AUT,2020-07-29,37.96
Austria,AUT,2020-07-30,37.96
Austria,AUT,2020-07-31,37.96
Austria,AUT,2020-08-01,37.96
Austria,AUT,2020-08-02,37.96
Austria,AUT,2020-08-03,37.96
Austria,AUT,2020-08-04,37.96
Austria,AUT,2020-08-05,37.96
Austria,AUT,2020-08-06,37.96
Austria,AUT,2020-08-07,37.96
Austria,AUT,2020-08-08,37.96
Austria,AUT,2020-08-09,37.96
Austria,AUT,2020-08-10,37.96
Austria,AUT,2020-08-11,37.96
Austria,AUT,2020-08-12,37.96
Austria,AUT,2020-08-13,37.96
Austria,AUT,2020-08-14,37.96
Austria,AUT,2020-08-15,37.96
Austria,AUT,2020-08-16,37.96
Austria,AUT,2020-08-17,37.96
Austria,AUT,2020-08-18,37.96
Austria,AUT,2020-08-19,37.96
Austria,AUT,2020-08-20,37.96
Austria,AUT,2020-08-21,37.96
Austria,AUT,2020-08-22,37.96
Austria,AUT,2020-08-23,37.96
Austria,AUT,2020-08-24,37.96
Austria,AUT,2020-08-25,37.96
Austria,AUT,2020-08-26,37.96
Austria,AUT,2020-08-27,37.96
Austria,AUT,2020-08-28,37.96
Austria,AUT,2020-08-29,37.96
Austria,AUT,2020-08-30,37.96
Austria,AUT,2020-08-31,37.96
Austria,AUT,2020-09-01,37.96
Austria,AUT,2020-09-02,37.96
Austria,AUT,2020-09-03,37.96
Austria,AUT,2020-09-04,37.96
Austria,AUT,2020-09-05,37.96
Austria,AUT,2020-09-06,36.11
Austria,AUT,2020-09-07,36.11
Austria,AUT,2020-09-08,36.11
Austria,AUT,2020-09-09,36.11
Austria,AUT,2020-09-10,36.11
Austria,AUT,2020-09-11,36.11
Austria,AUT,2020-09-12,36.11
Austria,AUT,2020-09-13,36.11
Austria,AUT,2020-09-14,36.11
Austria,AUT,2020-09-15,36.11
Austria,AUT,2020-09-16,36.11
Austria,AUT,2020-09-17,37.04
Austria,AUT,2020-09-18,37.04
Austria,AUT,2020-09-19,37.04
Austria,AUT,2020-09-20,37.04
Austria,AUT,2020-09-21,37.04
Austria,AUT,2020-09-22,37.04
Austria,AUT,2020-09-23,37.04
Austria,AUT,2020-09-24,37.04
Austria,AUT,2020-09-25,37.04
Austria,AUT,2020-09-26,37.04
Austria,AUT,2020-09-27,37.04
Austria,AUT,2020-09-28,37.04
Austria,AUT,2020-09-29,40.74
Austria,AUT,2020-09-30,40.74
Austria,AUT,2020-10-01,40.74
Austria,AUT,2020-10-02,40.74
Austria,AUT,2020-10-03,40.74
Austria,AUT,2020-10-04,40.74
Austria,AUT,2020-10-05,40.74
Austria,AUT,2020-10-06,40.74
Austria,AUT,2020-10-07,40.74
Austria,AUT,2020-10-08,40.74
Austria,AUT,2020-10-09,40.74
Austria,AUT,2020-10-10,40.74
Austria,AUT,2020-10-11,40.74
Austria,AUT,2020-10-12,40.74
Austria,AUT,2020-10-13,44.91
Austria,AUT,2020-10-14,44.91
Austria,AUT,2020-10-15,44.91
Austria,AUT,2020-10-16,44.91
Austria,AUT,2020-10-17,58.8
Austria,AUT,2020-10-18,58.8
Austria,AUT,2020-10-19,58.8
Austria,AUT,2020-10-20,58.8
Austria,AUT,2020-10-21,58.8
Austria,AUT,2020-10-22,58.8
Austria,AUT,2020-10-23,60.19
Austria,AUT,2020-10-24,60.19
Austria,AUT,2020-10-25,60.19
Austria,AUT,2020-10-26,60.19
Austria,AUT,2020-10-27,64.81
Austria,AUT,2020-10-28,64.81
Austria,AUT,2020-10-29,64.81
Austria,AUT,2020-10-30,64.81
Austria,AUT,2020-10-31,64.81
Austria,AUT,2020-11-01,64.81
Austria,AUT,2020-11-02,75
Austria,AUT,2020-11-03,75
Austria,AUT,2020-11-04,75
Austria,AUT,2020-11-05,75
Austria,AUT,2020-11-06,75
Austria,AUT,2020-11-07,75
Austria,AUT,2020-11-08,75
Austria,AUT,2020-11-09,75
Austria,AUT,2020-11-10,75
Austria,AUT,2020-11-11,75
Austria,AUT,2020-11-12,75
Austria,AUT,2020-11-13,75
Austria,AUT,2020-11-14,75
Austria,AUT,2020-11-15,75
Austria,AUT,2020-11-16,75
Austria,AUT,2020-11-17,82.41
Austria,AUT,2020-11-18,82.41
Austria,AUT,2020-11-19,82.41
Austria,AUT,2020-11-20,82.41
Austria,AUT,2020-11-21,82.41
Austria,AUT,2020-11-22,82.41
Austria,AUT,2020-11-23,82.41
Austria,AUT,2020-11-24,82.41
Austria,AUT,2020-11-25,82.41
Austria,AUT,2020-11-26,82.41
Austria,AUT,2020-11-27,82.41
Austria,AUT,2020-11-28,82.41
Austria,AUT,2020-11-29,82.41
Austria,AUT,2020-11-30,82.41
Austria,AUT,2020-12-01,82.41
Austria,AUT,2020-12-02,82.41
Austria,AUT,2020-12-03,82.41
Austria,AUT,2020-12-04,82.41
Austria,AUT,2020-12-05,82.41
Austria,AUT,2020-12-06,82.41
Austria,AUT,2020-12-07,71.3
Austria,AUT,2020-12-08,71.3
Austria,AUT,2020-12-09,71.3
Austria,AUT,2020-12-10,71.3
Austria,AUT,2020-12-11,71.3
Austria,AUT,2020-12-12,71.3
Austria,AUT,2020-12-13,71.3
Austria,AUT,2020-12-14,71.3
Austria,AUT,2020-12-15,71.3
Austria,AUT,2020-12-16,71.3
Austria,AUT,2020-12-17,71.3
Austria,AUT,2020-12-18,71.3
Austria,AUT,2020-12-19,71.3
Austria,AUT,2020-12-20,71.3
Austria,AUT,2020-12-21,71.3
Austria,AUT,2020-12-22,71.3
Austria,AUT,2020-12-23,71.3
Austria,AUT,2020-12-24,71.3
Austria,AUT,2020-12-25,71.3
Austria,AUT,2020-12-26,82.41
Austria,AUT,2020-12-27,82.41
Austria,AUT,2020-12-28,82.41
Austria,AUT,2020-12-29,82.41
Austria,AUT,2020-12-30,82.41
Austria,AUT,2020-12-31,82.41
Austria,AUT,2021-01-01,82.41
Austria,AUT,2021-01-02,82.41
Austria,AUT,2021-01-03,82.41
Austria,AUT,2021-01-04,82.41
Austria,AUT,2021-01-05,82.41
Austria,AUT,2021-01-06,82.41
Austria,AUT,2021-01-07,82.41
Austria,AUT,2021-01-08,82.41
Austria,AUT,2021-01-09,82.41
Austria,AUT,2021-01-10,82.41
Austria,AUT,2021-01-11,82.41
Austria,AUT,2021-01-12,82.41
Austria,AUT,2021-01-13,82.41
Austria,AUT,2021-01-14,82.41
Austria,AUT,2021-01-15,82.41
Austria,AUT,2021-01-16,82.41
Austria,AUT,2021-01-17,82.41
Austria,AUT,2021-01-18,82.41
Austria,AUT,2021-01-19,82.41
Austria,AUT,2021-01-20,82.41
Austria,AUT,2021-01-21,82.41
Austria,AUT,2021-01-22,82.41
Austria,AUT,2021-01-23,82.41
Austria,AUT,2021-01-24,82.41
Austria,AUT,2021-01-25,82.41
Austria,AUT,2021-01-26,82.41
Austria,AUT,2021-01-27,82.41
Austria,AUT,2021-01-28,82.41
Austria,AUT,2021-01-29,82.41
Austria,AUT,2021-01-30,82.41
Austria,AUT,2021-01-31,82.41
Austria,AUT,2021-02-01,82.41
Austria,AUT,2021-02-02,82.41
Austria,AUT,2021-02-03,82.41
Austria,AUT,2021-02-04,82.41
Austria,AUT,2021-02-05,82.41
Austria,AUT,2021-02-06,82.41
Austria,AUT,2021-02-07,82.41
Austria,AUT,2021-02-08,74.07
Austria,AUT,2021-02-09,74.07
Austria,AUT,2021-02-10,74.07
Austria,AUT,2021-02-11,74.07
Austria,AUT,2021-02-12,79.63
Austria,AUT,2021-02-13,79.63
Austria,AUT,2021-02-14,79.63
Austria,AUT,2021-02-15,75.93
Austria,AUT,2021-02-16,75.93
Austria,AUT,2021-02-17,75.93
Austria,AUT,2021-02-18,75.93
Austria,AUT,2021-02-19,75.93
Austria,AUT,2021-02-20,75.93
Austria,AUT,2021-02-21,75.93
Austria,AUT,2021-02-22,75.93
Austria,AUT,2021-02-23,75.93
Austria,AUT,2021-02-24,75.93
Austria,AUT,2021-02-25,75.93
Austria,AUT,2021-02-26,75.93
Austria,AUT,2021-02-27,75.93
Austria,AUT,2021-02-28,75.93
Austria,AUT,2021-03-01,75.93
Austria,AUT,2021-03-02,75.93
Austria,AUT,2021-03-03,75.93
Austria,AUT,2021-03-04,75.93
Austria,AUT,2021-03-05,75.93
Austria,AUT,2021-03-06,75.93
Austria,AUT,2021-03-07,75.93
Austria,AUT,2021-03-08,75.93
Austria,AUT,2021-03-09,75.93
Austria,AUT,2021-03-10,75.93
Austria,AUT,2021-03-11,75.93
Austria,AUT,2021-03-12,75.93
Austria,AUT,2021-03-13,75.93
Austria,AUT,2021-03-14,75.93
Austria,AUT,2021-03-15,73.15
Austria,AUT,2021-03-16,73.15
Austria,AUT,2021-03-17,73.15
Austria,AUT,2021-03-18,73.15
Austria,AUT,2021-03-19,73.15
Austria,AUT,2021-03-20,73.15
Austria,AUT,2021-03-21,73.15
Austria,AUT,2021-03-22,73.15
Austria,AUT,2021-03-23,73.15
Austria,AUT,2021-03-24,73.15
Austria,AUT,2021-03-25,73.15
Austria,AUT,2021-03-26,73.15
Austria,AUT,2021-03-27,73.15
Austria,AUT,2021-03-28,73.15
Austria,AUT,2021-03-29,73.15
Austria,AUT,2021-03-30,73.15
Austria,AUT,2021-03-31,73.15
Austria,AUT,2021-04-01,75
Austria,AUT,2021-04-02,75
Austria,AUT,2021-04-03,75
Austria,AUT,2021-04-04,75
Austria,AUT,2021-04-05,75
Austria,AUT,2021-04-06,78.7
Austria,AUT,2021-04-07,78.7
Austria,AUT,2021-04-08,78.7
Austria,AUT,2021-04-09,78.7
Austria,AUT,2021-04-10,78.7
Austria,AUT,2021-04-11,78.7
Austria,AUT,2021-04-12,78.7
Austria,AUT,2021-04-13,78.7
Austria,AUT,2021-04-14,78.7
Austria,AUT,2021-04-15,78.7
Austria,AUT,2021-04-16,78.7
Austria,AUT,2021-04-17,78.7
Austria,AUT,2021-04-18,78.7
Austria,AUT,2021-04-19,78.7
Austria,AUT,2021-04-20,78.7
Austria,AUT,2021-04-21,78.7
Austria,AUT,2021-04-22,78.7
Austria,AUT,2021-04-23,78.7
Austria,AUT,2021-04-24,78.7
Austria,AUT,2021-04-25,78.7
Austria,AUT,2021-04-26,76.85
Austria,AUT,2021-04-27,76.85
Austria,AUT,2021-04-28,76.85
Austria,AUT,2021-04-29,76.85
Austria,AUT,2021-04-30,76.85
Austria,AUT,2021-05-01,76.85
Austria,AUT,2021-05-02,76.85
Austria,AUT,2021-05-03,75
Austria,AUT,2021-05-04,75
Austria,AUT,2021-05-05,75
Austria,AUT,2021-05-06,75
Austria,AUT,2021-05-07,75
Austria,AUT,2021-05-08,75
Austria,AUT,2021-05-09,75
Austria,AUT,2021-05-10,75
Austria,AUT,2021-05-11,73.15
Austria,AUT,2021-05-12,73.15
Austria,AUT,2021-05-13,73.15
Austria,AUT,2021-05-14,73.15
Austria,AUT,2021-05-15,73.15
Austria,AUT,2021-05-16,65.74
Austria,AUT,2021-05-17,65.74
Austria,AUT,2021-05-18,65.74
Austria,AUT,2021-05-19,68.52
Austria,AUT,2021-05-20,68.52
Austria,AUT,2021-05-21,68.52
Austria,AUT,2021-05-22,68.52
Austria,AUT,2021-05-23,68.52
Austria,AUT,2021-05-24,68.52
Austria,AUT,2021-05-25,68.52
Austria,AUT,2021-05-26,68.52
Austria,AUT,2021-05-27,68.52
Austria,AUT,2021-05-28,68.52
Austria,AUT,2021-05-29,68.52
Austria,AUT,2021-05-30,68.52
Austria,AUT,2021-05-31,68.52
Austria,AUT,2021-06-01,68.52
Austria,AUT,2021-06-02,68.52
Austria,AUT,2021-06-03,68.52
Austria,AUT,2021-06-04,68.52
Austria,AUT,2021-06-05,68.52
Austria,AUT,2021-06-06,68.52
Austria,AUT,2021-06-07,68.52
Austria,AUT,2021-06-08,68.52
Austria,AUT,2021-06-09,68.52
Austria,AUT,2021-06-10,60.19
Austria,AUT,2021-06-11,60.19
Austria,AUT,2021-06-12,60.19
Austria,AUT,2021-06-13,60.19
Austria,AUT,2021-06-14,60.19
Austria,AUT,2021-06-15,60.19
Austria,AUT,2021-06-16,60.19
Austria,AUT,2021-06-17,60.19
Austria,AUT,2021-06-18,60.19
Austria,AUT,2021-06-19,60.19
Austria,AUT,2021-06-20,60.19
Austria,AUT,2021-06-21,60.19
Austria,AUT,2021-06-22,60.19
Austria,AUT,2021-06-23,60.19
